0.03, 0.48, 0.54, 0.54, 0.15, 0.14, 0.142857,0.15,0.142857,1
0.03, 0.48, 0.54, 0.54, 0.14, 0.15, 0.142857,0.142857,0.135135,1
0.06, 0.46, 0.54, 0.54, 0.15, 0.17, 0.380952,0.4,0.131579,1
0.03, 0.48, 0.54, 0.54, 0.16, 0.13, 0.15,0.15,0.131579,1
0.00, 0.48, 0.55, 0.55, 0.15, 0.14, 0.380952,0.380952,0.135135,1
0.03, 0.45, 0.55, 0.55, 0.16, 0.16, 0.380952,0.4,0.131579,1
0.06, 0.43, 0.54, 0.54, 0.17, 0.17, 0.142857,0.142857,0.131579,1
0.00, 0.49, 0.55, 0.55, 0.16, 0.14, 0.15,0.15,0.135135,1
0.00, 0.46, 0.55, 0.55, 0.16, 0.16, 0.15,0.142857,0.135135,1
0.03, 0.43, 0.52, 0.54, 0.17, 0.16, 0.142857,0.136364,0.125,1
0.07, 0.49, 0.59, 0.55, 0.14, 0.16, 0.15,0.15,0.135135,1
0.00, 0.51, 0.54, 0.54, 0.14, 0.15, 0.380952,0.4,0.142857,1
0.02, 0.47, 0.55, 0.53, 0.15, 0.15, 0.380952,0.4,0.135135,1
0.01, 0.46, 0.55, 0.54, 0.15, 0.14, 0.136364,0.136364,0.116279,1
0.06, 0.48, 0.55, 0.53, 0.16, 0.14, 0.15,0.15,0.131579,1
0.00, 0.49, 0.55, 0.55, 0.16, 0.14, 0.380952,0.380952,0.131579,1
0.06, 0.45, 0.55, 0.55, 0.17, 0.14, 0.136364,0.409091,0.131579,1
0.03, 0.46, 0.55, 0.55, 0.17, 0.14, 0.142857,0.142857,0.147059,1
0.00, 0.48, 0.55, 0.54, 0.16, 0.14, 0.142857,0.15,0.131579,1
0.03, 0.48, 0.55, 0.55, 0.17, 0.14, 0.428571,0.428571,0.131579,1
0.03, 0.44, 0.55, 0.55, 0.16, 0.14, 0.380952,0.363636,0.128205,1
0.06, 0.46, 0.54, 0.54, 0.15, 0.14, 0.409091,0.363636,0.131579,1
0.06, 0.45, 0.55, 0.55, 0.17, 0.14, 0.142857,0.15,0.135135,1
0.05, 0.41, 0.53, 0.53, 0.17, 0.14, -1.00,-1.00,-1.00,1
0.02, 0.41, 0.54, 0.54, 0.19, 0.14, 0.409091,0.409091,0.131579,1
0.03, 0.49, 0.55, 0.54, 0.17, 0.14, 0.380952,0.363636,0.131579,1
