i_manufact_id,sum_sales,avg_quarterly_sales
103,303.87,637.8050000000000000
103,406.18,637.8050000000000000
103,487.86,637.8050000000000000
103,1353.31,637.8050000000000000
887,397.55,771.7725000000000000
887,462.69,771.7725000000000000
887,1447.30,771.7725000000000000
315,382.23,784.3600000000000000
315,570.20,784.3600000000000000
315,907.51,784.3600000000000000
315,1277.50,784.3600000000000000
402,275.31,791.1200000000000000
402,492.09,791.1200000000000000
402,1162.63,791.1200000000000000
402,1234.45,791.1200000000000000
355,264.36,850.9950000000000000
355,1055.02,850.9950000000000000
355,1260.46,850.9950000000000000
163,372.96,895.7775000000000000
163,556.84,895.7775000000000000
163,1190.43,895.7775000000000000
163,1462.88,895.7775000000000000
612,328.60,928.4225000000000000
612,711.58,928.4225000000000000
612,747.69,928.4225000000000000
612,1925.82,928.4225000000000000
36,718.71,1079.1625000000000000
36,948.54,1079.1625000000000000
36,1503.41,1079.1625000000000000
195,443.60,1087.4150000000000000
195,512.53,1087.4150000000000000
195,2373.21,1087.4150000000000000
