ca_county,d_year,web_q1_q2_increase,store_q1_q2_increase,web_q2_q3_increase,store_q2_q3_increase
Mason County,1999,1.1976038238318232,0.90435017758269365273,2.5004760427912455,1.7526116362069353
Dewey County,1999,3.6974877963596196,0.91346774906566214186,3.5016987379634036,2.2901966641428253
Catahoula Parish,1999,0.54643722309536804122,0.38216530798372430743,6.6097511674391186,2.0556179720829190
Snyder County,1999,7.7001938395051267,3.0530440490257441,0.51446579102918881771,0.41308409787200086071
Jerauld County,1999,1.8614046433529231,0.97987370609656353774,1.3309947928100731,0.81890164701727861799
Stutsman County,1999,1.7778238469047579,1.1964272421715532,2.1615243795807195,1.1875769869540816
Cache County,1999,1.2910108994659382,0.51417696995924569745,1.0962734274831130,0.88798673999520564554
Concordia Parish,1999,4.1618743195332347,0.96934346669166158957,2.8061550558322480,2.6295119438844921
Frio County,1999,1.07430595257924092573,0.93356498341140539856,0.98374181970938034593,0.83444835777092770252
Jasper County,1999,2.2518081992709278,0.96853583582308920066,2.0001552750896472,1.9488731326750244
Dane County,1999,1.5908866818076230,0.88611043365684613660,1.1619599243657755,1.01616611166413293710
Vanderburgh County,1999,0.73260400351393458337,0.28941626022746942173,1.6070604208397207,1.02297247477910265473
Charlotte County,1999,1.5189339918195086,1.0313896553509981,1.2838347275960551,1.2192962341573458
Maui County,1999,2.0300876066184431,1.5478664045843522,1.7413704817405036,0.77033900261282036931
Addison County,1999,1.14372575026409759018,1.0709952813766632,6.7516353685739482,0.78624779458864445002
Walworth County,1999,5.1993369201510719,1.2542874036693761,2.5379157887120296,1.3156351114974400
Sevier County,1999,3.4359722347685886,1.0834373296967851,1.3790695716021301,1.2176470215373144
Grand Forks County,1999,1.15149755765758039138,0.36267077369266216547,2.7784308375079158,1.2159348141714669
Elmore County,1999,1.13100778120590136362,1.1038743837125526,4.3324794699008860,1.5875121052866552
Conecuh County,1999,0.77395733380938566934,0.71097205349442627013,1.5998428961190632,1.1073216783460072
Early County,1999,1.9081047576966071,0.45665589948229033557,2.5288023994020792,2.4050652930076931
Rockingham County,1999,1.1515482793579366,0.95066980635427975935,5.3109232446356667,1.9914035933184655
Sampson County,1999,1.2892139609876451,0.54694471893929072852,4.8219926355934826,1.9723999656760482
Brooke County,1999,4.4482191008382740,0.89622757244965277972,1.1282748147415441,0.84127837418580034430
Clarke County,1999,0.72159021125664102366,0.66666487549913611166,2.8630127515362282,1.8881000902164098
Isle of Wight County,1999,1.4031908705725869,1.1382647702285325,2.4856824525275082,1.0728876092509755
Calloway County,1999,1.4859019576454550,0.79647447057536829853,3.3924868101448590,0.82092717142660975754
Columbia County,1999,1.0642185707916665,0.72449786490122476197,2.4513745824967427,1.4790587703265295
Ottawa County,1999,1.5776118265042146,1.5061644378842538,1.7646945609264324,1.5642437649527825
Carson County,1999,1.14363818854238508641,0.23702369368809910585,8.9782280085995413,3.9778460554804995
Uvalde County,1999,0.95707148195911380042,0.54917549256333419102,4.0356877140294613,1.0858079735806586
