i_manager_id,sum_sales,avg_monthly_sales
10,181.57,975.4875000000000000
10,240.35,975.4875000000000000
10,242.65,975.4875000000000000
10,242.70,975.4875000000000000
10,299.46,975.4875000000000000
10,366.78,975.4875000000000000
10,392.13,975.4875000000000000
10,449.59,975.4875000000000000
10,591.31,975.4875000000000000
10,743.23,975.4875000000000000
10,1460.13,975.4875000000000000
10,6495.95,975.4875000000000000
13,41.79,609.4625000000000000
13,129.77,609.4625000000000000
13,132.37,609.4625000000000000
13,133.00,609.4625000000000000
13,158.40,609.4625000000000000
13,168.66,609.4625000000000000
13,228.62,609.4625000000000000
13,235.61,609.4625000000000000
13,325.55,609.4625000000000000
13,366.46,609.4625000000000000
13,507.69,609.4625000000000000
13,4885.63,609.4625000000000000
16,27.32,653.2591666666666667
16,75.85,653.2591666666666667
16,104.67,653.2591666666666667
16,122.26,653.2591666666666667
16,172.14,653.2591666666666667
16,188.56,653.2591666666666667
16,211.85,653.2591666666666667
16,265.16,653.2591666666666667
16,308.96,653.2591666666666667
16,377.23,653.2591666666666667
16,476.44,653.2591666666666667
16,5508.67,653.2591666666666667
29,61.73,770.1300000000000000
29,81.32,770.1300000000000000
29,130.65,770.1300000000000000
29,140.86,770.1300000000000000
29,157.23,770.1300000000000000
29,227.04,770.1300000000000000
29,259.15,770.1300000000000000
29,309.76,770.1300000000000000
29,358.78,770.1300000000000000
29,537.29,770.1300000000000000
29,657.70,770.1300000000000000
29,6320.05,770.1300000000000000
34,39.06,459.2575000000000000
34,129.94,459.2575000000000000
34,136.99,459.2575000000000000
34,203.31,459.2575000000000000
34,206.18,459.2575000000000000
34,219.49,459.2575000000000000
34,220.00,459.2575000000000000
34,236.95,459.2575000000000000
34,330.41,459.2575000000000000
34,370.20,459.2575000000000000
34,374.75,459.2575000000000000
34,3043.81,459.2575000000000000
36,57.75,505.2308333333333333
36,58.21,505.2308333333333333
36,62.00,505.2308333333333333
36,68.95,505.2308333333333333
36,144.15,505.2308333333333333
36,265.94,505.2308333333333333
36,268.79,505.2308333333333333
36,679.10,505.2308333333333333
36,2900.33,505.2308333333333333
43,105.37,506.5090909090909091
43,154.21,506.5090909090909091
43,179.68,506.5090909090909091
43,211.12,506.5090909090909091
43,218.75,506.5090909090909091
43,240.35,506.5090909090909091
43,271.86,506.5090909090909091
43,291.10,506.5090909090909091
43,627.47,506.5090909090909091
43,673.87,506.5090909090909091
43,2597.82,506.5090909090909091
61,97.76,428.9500000000000000
61,155.42,428.9500000000000000
61,156.73,428.9500000000000000
61,211.42,428.9500000000000000
61,242.99,428.9500000000000000
61,301.51,428.9500000000000000
61,352.37,428.9500000000000000
61,359.79,428.9500000000000000
61,633.06,428.9500000000000000
61,1054.57,428.9500000000000000
61,1183.93,428.9500000000000000
